epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1317.36,1.16741,1.3016,1.37832,0.59121,0.66814,0.64674,0.43407,1.1155,1.27981,1.37447,0.0005644,0.0005644,0.0005644
68,1336.84,1.16833,1.41653,1.42961,0.5664,0.66331,0.62696,0.41867,1.14716,1.30721,1.39543,0.0005578,0.0005578,0.0005578
69,1356.19,1.16528,1.59253,1.40729,0.59456,0.575,0.63961,0.41271,1.18437,1.30018,1.41544,0.0005512,0.0005512,0.0005512
70,1375.53,1.11671,1.95102,1.56384,0.50522,0.69032,0.64997,0.4023,1.23092,1.29983,1.44022,0.0005446,0.0005446,0.0005446
71,1394.82,1.17145,1.39701,1.39658,0.51167,0.68777,0.66053,0.38989,1.28809,1.29923,1.47986,0.000538,0.000538,0.000538
72,1413.88,1.2798,1.60168,1.52205,0.53285,0.67182,0.6682,0.38124,1.31745,1.2908,1.49746,0.0005314,0.0005314,0.0005314
73,1432.87,1.06665,1.26452,1.35346,0.54943,0.67061,0.66921,0.39504,1.27361,1.26076,1.46029,0.0005248,0.0005248,0.0005248
74,1451.67,1.22694,1.42399,1.49166,0.49881,0.7303,0.68134,0.42907,1.20527,1.23035,1.4083,0.0005182,0.0005182,0.0005182
75,1471.1,1.31285,1.47613,1.47527,0.47433,0.78805,0.7286,0.48191,1.16244,1.20796,1.37089,0.0005116,0.0005116,0.0005116
76,1489.77,1.24927,2.10647,1.67029,0.52358,0.81136,0.74439,0.50489,1.14937,1.2059,1.35095,0.000505,0.000505,0.000505
77,1508.55,1.1671,1.39359,1.40149,0.55455,0.79766,0.73998,0.51218,1.16218,1.20242,1.35669,0.0004984,0.0004984,0.0004984
78,1527.71,1.19133,1.33965,1.43292,0.58804,0.71864,0.73905,0.51541,1.11759,1.19343,1.33644,0.0004918,0.0004918,0.0004918
79,1547.28,1.11577,1.43422,1.41829,0.59624,0.75086,0.75262,0.52929,1.09768,1.15927,1.33499,0.0004852,0.0004852,0.0004852
80,1566.68,0.9992,1.19117,1.23725,0.59558,0.80758,0.76091,0.53196,1.06424,1.12098,1.31712,0.0004786,0.0004786,0.0004786
81,1586.12,1.14538,1.29582,1.38614,0.67166,0.75073,0.77944,0.54101,1.04858,1.09995,1.30656,0.000472,0.000472,0.000472
82,1605.15,1.0493,1.33364,1.38944,0.71071,0.74097,0.78432,0.53997,1.03795,1.09972,1.29586,0.0004654,0.0004654,0.0004654
83,1624.66,1.14347,1.2795,1.44165,0.68529,0.77097,0.79572,0.54297,1.0413,1.09518,1.29728,0.0004588,0.0004588,0.0004588
84,1643.91,1.13121,1.28301,1.34481,0.719,0.74281,0.8079,0.54589,1.09304,1.09561,1.32641,0.0004522,0.0004522,0.0004522
85,1662.84,1.03544,1.17805,1.27348,0.73983,0.74422,0.80329,0.54581,1.10015,1.07263,1.3226,0.0004456,0.0004456,0.0004456
86,1682.92,1.32217,1.46326,1.44355,0.74668,0.72019,0.807,0.56747,1.06384,1.04606,1.29203,0.000439,0.000439,0.000439
87,1702.02,1.03942,1.45698,1.38835,0.65644,0.75144,0.8129,0.58918,1.00285,1.04295,1.26159,0.0004324,0.0004324,0.0004324
88,1720.92,1.18025,1.40676,1.39172,0.57057,0.84915,0.79415,0.57436,0.99589,1.06117,1.25902,0.0004258,0.0004258,0.0004258
89,1739.6,1.04274,1.14116,1.22867,0.56711,0.85788,0.79472,0.57332,0.99169,1.06359,1.25114,0.0004192,0.0004192,0.0004192
90,1758.48,1.17067,1.96727,1.59524,0.5596,0.84423,0.78222,0.57197,0.98224,1.06183,1.23683,0.0004126,0.0004126,0.0004126
91,1777.54,1.24596,1.43855,1.45369,0.57318,0.81529,0.78067,0.57021,1.00364,1.06858,1.2373,0.000406,0.000406,0.000406
92,1796.37,1.06644,1.19933,1.39363,0.62702,0.77228,0.79744,0.55448,1.05813,1.07856,1.25949,0.0003994,0.0003994,0.0003994
93,1816.09,0.99497,1.41475,1.38596,0.71417,0.73507,0.8066,0.54644,1.13792,1.09593,1.3005,0.0003928,0.0003928,0.0003928
94,1835.36,0.9787,2.13608,1.42625,0.70066,0.76262,0.78991,0.5424,1.14301,1.0962,1.30313,0.0003862,0.0003862,0.0003862
95,1855.28,1.17535,1.17785,1.40764,0.69218,0.70959,0.79373,0.56131,1.09084,1.07648,1.27055,0.0003796,0.0003796,0.0003796
96,1875,1.14823,1.29197,1.34112,0.70126,0.73905,0.7955,0.57057,1.02321,1.05324,1.23787,0.000373,0.000373,0.000373
97,1894.48,1.02206,1.11149,1.34533,0.72786,0.75031,0.80036,0.58249,0.97452,1.0329,1.21978,0.0003664,0.0003664,0.0003664
98,1913.53,1.14892,1.37742,1.4047,0.71028,0.77813,0.8083,0.58881,0.94866,1.01042,1.21369,0.0003598,0.0003598,0.0003598
99,1932.88,1.16516,1.23478,1.45329,0.74662,0.7661,0.83146,0.60715,0.94062,0.99377,1.20764,0.0003532,0.0003532,0.0003532
100,1951.77,1.21826,1.50251,1.35262,0.79907,0.7246,0.84284,0.61877,0.94314,0.98407,1.2027,0.0003466,0.0003466,0.0003466
101,1971.06,1.07976,1.12066,1.24992,0.78838,0.75044,0.84095,0.61582,0.93932,0.98996,1.19831,0.00034,0.00034,0.00034
102,1989.97,0.9839,1.60489,1.32348,0.77285,0.79434,0.85106,0.61423,0.94173,1.00125,1.19981,0.0003334,0.0003334,0.0003334
103,2008.88,1.0176,1.13938,1.28899,0.77005,0.77914,0.85403,0.6116,0.94219,1.00899,1.2049,0.0003268,0.0003268,0.0003268
104,2028.07,1.08101,1.18347,1.50301,0.75116,0.78984,0.85746,0.61055,0.94176,1.01382,1.20975,0.0003202,0.0003202,0.0003202
105,2047.2,1.0925,1.58002,1.39499,0.77261,0.81031,0.86598,0.61547,0.93615,1.00803,1.21249,0.0003136,0.0003136,0.0003136
106,2066.84,0.97098,1.16145,1.28438,0.77277,0.84216,0.87046,0.62089,0.93681,1.0014,1.2202,0.000307,0.000307,0.000307
107,2086.27,1.16209,1.11904,1.27311,0.78182,0.845,0.87304,0.62055,0.93061,0.97944,1.21711,0.0003004,0.0003004,0.0003004
108,2105.66,1.12657,1.19897,1.40715,0.75902,0.8616,0.87893,0.62644,0.91831,0.97168,1.21486,0.0002938,0.0002938,0.0002938
109,2126.85,1.0827,1.37712,1.43157,0.72349,0.84068,0.87723,0.62858,0.90741,0.96172,1.20744,0.0002872,0.0002872,0.0002872
110,2147.35,0.95095,1.15999,1.28284,0.78044,0.78543,0.85841,0.61339,0.9163,0.95323,1.20927,0.0002806,0.0002806,0.0002806
111,2169.73,0.97089,1.17956,1.25084,0.77378,0.79224,0.85785,0.61065,0.94733,0.96007,1.22092,0.000274,0.000274,0.000274
112,2188.83,1.01445,1.17426,1.25616,0.75492,0.79278,0.86077,0.60381,0.98052,0.96549,1.23545,0.0002674,0.0002674,0.0002674
113,2208.19,1.08312,1.38935,1.35204,0.74911,0.77769,0.8573,0.60387,0.96981,0.96455,1.22857,0.0002608,0.0002608,0.0002608
114,2227.16,1.06909,1.30913,1.47135,0.75173,0.78278,0.85683,0.60688,0.94056,0.96046,1.21195,0.0002542,0.0002542,0.0002542
115,2246.51,1.04707,1.16962,1.33601,0.76997,0.79721,0.86033,0.61535,0.91689,0.96211,1.19876,0.0002476,0.0002476,0.0002476
116,2265.59,0.91893,1.03517,1.18405,0.76912,0.80413,0.85348,0.62516,0.90229,0.96573,1.19394,0.000241,0.000241,0.000241
117,2284.39,0.90611,1.09049,1.26443,0.78791,0.80877,0.85241,0.62319,0.89707,0.9693,1.1921,0.0002344,0.0002344,0.0002344
118,2303.52,0.92246,1.00966,1.21408,0.77772,0.8066,0.8536,0.62789,0.89295,0.96496,1.18755,0.0002278,0.0002278,0.0002278
119,2323,0.91674,1.01848,1.24853,0.77431,0.80879,0.85557,0.63299,0.89065,0.94864,1.17895,0.0002212,0.0002212,0.0002212
120,2342.04,1.07423,1.18797,1.32824,0.8181,0.80192,0.87346,0.63912,0.89743,0.92768,1.17219,0.0002146,0.0002146,0.0002146
121,2360.4,0.96672,1.08083,1.25881,0.85117,0.80362,0.88708,0.64633,0.91473,0.91535,1.17045,0.000208,0.000208,0.000208
122,2378.98,1.1484,1.30848,1.46026,0.81408,0.82184,0.9064,0.65763,0.93207,0.90501,1.17742,0.0002014,0.0002014,0.0002014
123,2397.54,1.04294,1.17035,1.32704,0.79024,0.90675,0.89597,0.64392,0.94499,0.90154,1.18413,0.0001948,0.0001948,0.0001948
124,2416.42,1.03693,1.17885,1.32216,0.79985,0.92974,0.90478,0.64946,0.94873,0.8933,1.18613,0.0001882,0.0001882,0.0001882
125,2435.21,0.9667,1.07887,1.27082,0.79203,0.91743,0.89121,0.64537,0.93894,0.88502,1.18052,0.0001816,0.0001816,0.0001816
126,2454.43,0.95897,1.31036,1.34386,0.81264,0.91512,0.89691,0.6528,0.92659,0.87996,1.17396,0.000175,0.000175,0.000175
127,2473,0.90233,0.9809,1.19026,0.81913,0.89473,0.90982,0.66495,0.91646,0.87284,1.16858,0.0001684,0.0001684,0.0001684
128,2492.54,1.15201,1.18942,1.54998,0.82119,0.89082,0.91729,0.67649,0.90433,0.86639,1.16136,0.0001618,0.0001618,0.0001618
129,2510.98,1.03571,1.23404,1.39018,0.81008,0.87775,0.91684,0.67082,0.90669,0.86315,1.16259,0.0001552,0.0001552,0.0001552
130,2529.4,1.01686,1.10638,1.34034,0.80633,0.87968,0.91779,0.66816,0.90928,0.85873,1.16308,0.0001486,0.0001486,0.0001486
131,2547.75,1.16185,1.414,1.499,0.80985,0.87667,0.92339,0.67529,0.90911,0.85733,1.16256,0.000142,0.000142,0.000142
132,2566.25,0.99244,1.16581,1.26808,0.8117,0.86857,0.92204,0.67268,0.91332,0.85705,1.16319,0.0001354,0.0001354,0.0001354
133,2584.96,0.94723,0.98841,1.29742,0.8064,0.87078,0.92305,0.67437,0.91754,0.85641,1.16452,0.0001288,0.0001288,0.0001288
134,2603.69,1.08367,1.22569,1.32045,0.81228,0.87955,0.92085,0.67087,0.92303,0.85533,1.16822,0.0001222,0.0001222,0.0001222
135,2622.41,1.20316,1.62587,1.59011,0.7931,0.87838,0.91592,0.67156,0.91667,0.85523,1.16471,0.0001156,0.0001156,0.0001156
136,2640.96,0.9615,1.01794,1.29874,0.79322,0.87979,0.91473,0.67158,0.9155,0.85145,1.16515,0.000109,0.000109,0.000109
137,2659.62,0.94978,1.07635,1.27683,0.7982,0.87855,0.92204,0.67878,0.91276,0.84669,1.16394,0.0001024,0.0001024,0.0001024
138,2679.09,0.98374,1.10255,1.3833,0.81019,0.90583,0.92207,0.68314,0.89679,0.84406,1.15613,9.58e-05,9.58e-05,9.58e-05
139,2697.6,1.09141,1.03042,1.31036,0.81117,0.90886,0.92335,0.68887,0.89334,0.84121,1.15395,8.92e-05,8.92e-05,8.92e-05
140,2716.4,1.16534,1.41884,1.49954,0.82055,0.89082,0.92542,0.69192,0.87954,0.8393,1.14772,8.26e-05,8.26e-05,8.26e-05
141,2735.17,0.93784,2.23751,1.30745,0.81337,0.88563,0.9204,0.6984,0.86345,0.83969,1.14017,7.6e-05,7.6e-05,7.6e-05
142,2753.5,0.88474,1.1243,1.24072,0.82796,0.89409,0.92426,0.7044,0.85169,0.83916,1.13595,6.94e-05,6.94e-05,6.94e-05
143,2771.99,0.7057,2.21736,1.21847,0.80834,0.88283,0.92192,0.70081,0.84606,0.84122,1.13444,6.28e-05,6.28e-05,6.28e-05
144,2792.52,0.74489,1.04312,1.15115,0.79576,0.90884,0.92068,0.70153,0.8444,0.84234,1.13386,5.62e-05,5.62e-05,5.62e-05
145,2811.15,0.85301,1.16891,1.25046,0.80509,0.91209,0.9164,0.69962,0.84311,0.84574,1.13301,4.96e-05,4.96e-05,4.96e-05
146,2829.41,0.72757,1.76528,1.28621,0.79358,0.90035,0.90734,0.6937,0.84001,0.84925,1.13072,4.3e-05,4.3e-05,4.3e-05
147,2848.78,0.80764,1.09545,1.2125,0.78423,0.9079,0.90752,0.6916,0.84075,0.85227,1.13165,3.64e-05,3.64e-05,3.64e-05
148,2867.04,0.67134,2.05021,1.25736,0.77736,0.90706,0.90233,0.6887,0.84004,0.85675,1.13163,2.98e-05,2.98e-05,2.98e-05
149,2885.61,0.86442,1.11097,1.26447,0.79488,0.91715,0.90204,0.69297,0.83745,0.85896,1.13049,2.32e-05,2.32e-05,2.32e-05
150,2903.97,0.8771,1.10671,1.24048,0.79635,0.91697,0.90226,0.69509,0.8361,0.85865,1.12931,1.66e-05,1.66e-05,1.66e-05
