epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1991.9,1.58118,1.00496,1.25318,0.75335,0.71936,0.71951,0.31435,1.98243,1.05904,1.40274,0.00032744,0.00032744,0.00032744
60,2023.8,1.55611,0.99113,1.22473,0.76282,0.71496,0.71871,0.30885,1.9774,1.05272,1.39997,0.000319827,0.000319827,0.000319827
61,2055.83,1.56913,0.97816,1.19708,0.78091,0.69131,0.71547,0.30828,1.98795,1.05716,1.40939,0.000312214,0.000312214,0.000312214
62,2087.85,1.54025,0.97332,1.23789,0.76238,0.67988,0.70908,0.30878,1.98476,1.0513,1.40894,0.000304601,0.000304601,0.000304601
63,2120.22,1.55141,0.9532,1.22893,0.78377,0.69588,0.7237,0.31223,1.97864,1.03907,1.40526,0.000296988,0.000296988,0.000296988
64,2152.69,1.58428,0.98263,1.21996,0.73752,0.69293,0.70319,0.3123,1.98724,1.03267,1.40604,0.000289375,0.000289375,0.000289375
65,2184.33,1.49095,0.9605,1.19865,0.73477,0.67802,0.71544,0.30816,1.98413,1.03226,1.41212,0.000281762,0.000281762,0.000281762
66,2216.34,1.53421,0.94994,1.21907,0.74112,0.67979,0.71662,0.31104,1.97873,1.03429,1.40735,0.000274148,0.000274148,0.000274148
67,2248.07,1.49745,0.93949,1.19618,0.78837,0.66644,0.72139,0.32089,1.96301,1.03428,1.39366,0.000266535,0.000266535,0.000266535
68,2280.5,1.48794,0.94014,1.18505,0.77517,0.64984,0.70596,0.32225,1.95101,1.03746,1.38903,0.000258922,0.000258922,0.000258922
69,2312.59,1.52882,0.948,1.22438,0.74106,0.68178,0.71195,0.3212,1.93542,1.03138,1.39035,0.000251309,0.000251309,0.000251309
70,2345.03,1.51102,0.93678,1.20283,0.75735,0.69969,0.72964,0.32401,1.93673,1.03112,1.39247,0.000243696,0.000243696,0.000243696
71,2377.25,1.52121,0.94951,1.19976,0.75518,0.68999,0.72798,0.31586,1.95378,1.02575,1.39529,0.000236083,0.000236083,0.000236083
72,2408.96,1.48202,0.92932,1.1839,0.75489,0.7004,0.72942,0.31492,1.96095,1.02683,1.39939,0.00022847,0.00022847,0.00022847
73,2441.06,1.5111,0.95612,1.2072,0.70318,0.71046,0.72302,0.31409,1.9529,1.04436,1.39678,0.000220857,0.000220857,0.000220857
74,2472.98,1.52328,0.94974,1.22143,0.70164,0.73266,0.7264,0.31391,1.95402,1.04636,1.39894,0.000213244,0.000213244,0.000213244
75,2505.15,1.45646,0.92367,1.19545,0.74529,0.73039,0.73183,0.3115,1.96538,1.02882,1.40763,0.000205631,0.000205631,0.000205631
76,2537.67,1.53566,0.93361,1.21355,0.74843,0.73635,0.73728,0.31551,1.96536,1.01981,1.40897,0.000198018,0.000198018,0.000198018
77,2569.65,1.49576,0.90975,1.17821,0.74207,0.75428,0.7381,0.3147,1.94387,1.01532,1.39811,0.000190404,0.000190404,0.000190404
78,2602.2,1.44975,0.91795,1.18212,0.70909,0.73434,0.72772,0.3187,1.94353,1.01508,1.39734,0.000182791,0.000182791,0.000182791
79,2637.15,1.47436,0.93352,1.18645,0.67407,0.74644,0.72338,0.32728,1.93377,1.01062,1.39175,0.000175178,0.000175178,0.000175178
80,2669.43,1.49922,0.925,1.20228,0.7135,0.73715,0.73831,0.33376,1.93335,1.01422,1.39147,0.000167565,0.000167565,0.000167565
81,2701.69,1.50803,0.91183,1.19135,0.69843,0.73033,0.74632,0.33351,1.94153,1.01105,1.39715,0.000159952,0.000159952,0.000159952
82,2733.97,1.47238,0.88389,1.18184,0.70541,0.74921,0.73827,0.33114,1.95408,1.01267,1.40355,0.000152339,0.000152339,0.000152339
83,2766.37,1.48029,0.88782,1.17024,0.70967,0.73851,0.75542,0.32484,1.95136,1.00916,1.406,0.000144726,0.000144726,0.000144726
84,2798.42,1.45802,0.9041,1.1737,0.70389,0.7365,0.75336,0.3252,1.94459,1.00747,1.4035,0.000137113,0.000137113,0.000137113
85,2830.8,1.45555,0.88732,1.16036,0.68548,0.75572,0.74228,0.32549,1.92707,1.00691,1.3945,0.0001295,0.0001295,0.0001295
86,2863.04,1.45985,0.91855,1.18222,0.70178,0.74241,0.73773,0.32912,1.92878,1.01303,1.39655,0.000121887,0.000121887,0.000121887
87,2895.23,1.45333,0.9034,1.17556,0.71657,0.7397,0.73763,0.32836,1.93172,1.00839,1.39888,0.000114273,0.000114273,0.000114273
88,2927.78,1.44532,0.89227,1.17053,0.73466,0.74221,0.74171,0.32719,1.93477,1.00432,1.40002,0.00010666,0.00010666,0.00010666
89,2960.33,1.44103,0.87974,1.17653,0.71209,0.75619,0.73215,0.32474,1.93803,0.99679,1.40171,9.90472e-05,9.90472e-05,9.90472e-05
90,2992.71,1.45891,0.90474,1.15432,0.71276,0.75815,0.73615,0.3225,1.93453,0.99204,1.3999,9.14341e-05,9.14341e-05,9.14341e-05
91,3023.63,1.50353,1.01162,1.2502,0.68654,0.78589,0.74398,0.32241,1.93784,1.00016,1.40175,8.3821e-05,8.3821e-05,8.3821e-05
92,3054.86,1.47672,0.9927,1.23508,0.68415,0.78564,0.74079,0.3198,1.93789,1.00409,1.40217,7.62079e-05,7.62079e-05,7.62079e-05
93,3086.22,1.48556,0.96955,1.21732,0.66759,0.7585,0.72176,0.32225,1.94482,1.01648,1.40541,6.85948e-05,6.85948e-05,6.85948e-05
94,3117.37,1.50582,0.97287,1.22302,0.68232,0.73068,0.7223,0.32301,1.94786,1.01435,1.40845,6.09817e-05,6.09817e-05,6.09817e-05
95,3148.88,1.44285,0.94657,1.20386,0.6723,0.75057,0.72014,0.32569,1.94812,1.01531,1.40747,5.33686e-05,5.33686e-05,5.33686e-05
96,3180.07,1.46571,0.94362,1.2125,0.67523,0.75397,0.72054,0.32444,1.95072,1.01502,1.40932,4.57555e-05,4.57555e-05,4.57555e-05
97,3212.81,1.45751,0.94924,1.19456,0.66884,0.75367,0.71946,0.32816,1.95064,1.0146,1.4122,3.81424e-05,3.81424e-05,3.81424e-05
98,3244.58,1.43232,0.92029,1.20184,0.66783,0.75309,0.71557,0.32621,1.94939,1.01554,1.41232,3.05293e-05,3.05293e-05,3.05293e-05
99,3275.85,1.4185,0.91404,1.20057,0.66777,0.75088,0.71415,0.32721,1.95017,1.016,1.41399,2.29162e-05,2.29162e-05,2.29162e-05
100,3306.49,1.48006,0.92795,1.21047,0.68362,0.76681,0.73335,0.32791,1.94943,1.01837,1.4151,1.53031e-05,1.53031e-05,1.53031e-05
