epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,1926.29,1.10806,1.33204,1.36847,0.68288,0.7259,0.78054,0.55452,0.96418,1.03761,1.21291,0.0003598,0.0003598,0.0003598
99,1944.45,1.07606,1.29053,1.39142,0.72486,0.74803,0.79576,0.57175,0.96194,1.03088,1.20523,0.0003532,0.0003532,0.0003532
100,1962.47,1.24168,1.50663,1.36024,0.6876,0.77285,0.78146,0.56218,0.98258,1.03061,1.20883,0.0003466,0.0003466,0.0003466
101,1980.66,1.13441,1.19288,1.26467,0.70267,0.72137,0.78627,0.56358,0.99235,1.03663,1.21204,0.00034,0.00034,0.00034
102,1998.67,0.97519,1.66225,1.29754,0.68191,0.75407,0.80709,0.57759,0.98931,1.03041,1.21224,0.0003334,0.0003334,0.0003334
103,2016.61,0.98907,1.20151,1.27953,0.67782,0.81911,0.80776,0.57423,0.97686,1.01901,1.20939,0.0003268,0.0003268,0.0003268
104,2034.82,1.06752,1.23294,1.51331,0.68409,0.7598,0.80966,0.58006,0.9593,1.01356,1.20513,0.0003202,0.0003202,0.0003202
105,2052.78,1.1357,1.40125,1.38054,0.72794,0.72468,0.81155,0.58647,0.94823,1.00356,1.20049,0.0003136,0.0003136,0.0003136
106,2070.99,0.97508,1.17905,1.29474,0.58578,0.90711,0.80304,0.57753,0.94637,0.99758,1.1997,0.000307,0.000307,0.000307
107,2089.04,1.16247,1.10499,1.26389,0.62567,0.88224,0.80303,0.5718,0.94337,0.98552,1.19474,0.0003004,0.0003004,0.0003004
108,2106.8,1.07217,1.21188,1.34575,0.65699,0.81124,0.82298,0.59301,0.92917,0.97922,1.1901,0.0002938,0.0002938,0.0002938
109,2124.81,1.14401,1.38233,1.49298,0.6408,0.83027,0.81986,0.59636,0.9143,0.98007,1.18657,0.0002872,0.0002872,0.0002872
110,2142.8,0.92691,1.18683,1.28737,0.72363,0.68287,0.81444,0.59238,0.91164,0.98212,1.18817,0.0002806,0.0002806,0.0002806
111,2160.76,0.97045,1.19185,1.25433,0.78918,0.68169,0.821,0.59786,0.92441,0.97916,1.19073,0.000274,0.000274,0.000274
112,2178.85,1.07052,1.22609,1.27696,0.76601,0.68563,0.8358,0.60211,0.94168,0.97084,1.19356,0.0002674,0.0002674,0.0002674
113,2198.18,1.1337,1.40495,1.39602,0.645,0.83753,0.8414,0.60997,0.92262,0.96471,1.18293,0.0002608,0.0002608,0.0002608
114,2216.09,0.99452,1.46802,1.41321,0.73527,0.73841,0.87445,0.63795,0.89527,0.95647,1.16972,0.0002542,0.0002542,0.0002542
115,2234.17,1.04577,1.18602,1.3337,0.67353,0.85701,0.8746,0.63956,0.88203,0.94929,1.16194,0.0002476,0.0002476,0.0002476
116,2252.28,0.90878,1.06304,1.16435,0.65807,0.82681,0.86374,0.63592,0.88156,0.93848,1.16156,0.000241,0.000241,0.000241
117,2270.01,0.94564,1.08893,1.27851,0.74779,0.77324,0.86309,0.63709,0.88807,0.93559,1.16329,0.0002344,0.0002344,0.0002344
118,2287.94,0.92406,1.01171,1.21156,0.73716,0.78686,0.85371,0.62962,0.89114,0.93931,1.1613,0.0002278,0.0002278,0.0002278
119,2306.67,0.9186,1.05924,1.24384,0.80661,0.74188,0.85291,0.62284,0.8988,0.94156,1.16217,0.0002212,0.0002212,0.0002212
120,2324.53,1.09573,1.22632,1.33316,0.81374,0.72196,0.85637,0.62144,0.93241,0.94518,1.17173,0.0002146,0.0002146,0.0002146
121,2342.35,1.00226,1.11225,1.25175,0.83576,0.71829,0.86337,0.61194,0.968,0.94932,1.18618,0.000208,0.000208,0.000208
122,2360.55,1.11928,1.4098,1.4368,0.70493,0.8655,0.86639,0.61817,0.9927,0.94864,1.19951,0.0002014,0.0002014,0.0002014
123,2381.06,0.99184,1.1371,1.29908,0.76809,0.85883,0.88391,0.63035,1.00181,0.94379,1.20485,0.0001948,0.0001948,0.0001948
124,2400.46,1.02035,1.18893,1.33399,0.79884,0.78344,0.88953,0.63802,0.9978,0.93462,1.20799,0.0001882,0.0001882,0.0001882
125,2418.51,0.98729,1.11923,1.29241,0.74833,0.8447,0.87639,0.63468,0.98071,0.92082,1.20091,0.0001816,0.0001816,0.0001816
126,2436.5,0.96704,1.31812,1.35774,0.73725,0.91842,0.87886,0.64702,0.95388,0.91061,1.1872,0.000175,0.000175,0.000175
127,2454.52,0.89559,1.01886,1.18182,0.72552,0.87857,0.86248,0.63858,0.93285,0.90485,1.17618,0.0001684,0.0001684,0.0001684
128,2472.87,1.11721,1.37704,1.54061,0.71549,0.8948,0.86049,0.64235,0.90633,0.90054,1.16142,0.0001618,0.0001618,0.0001618
129,2490.93,1.07008,1.31009,1.43028,0.71347,0.88725,0.86567,0.64323,0.89391,0.89905,1.15248,0.0001552,0.0001552,0.0001552
130,2509.34,0.98604,1.13604,1.32024,0.73222,0.89977,0.87265,0.64904,0.878,0.89676,1.14512,0.0001486,0.0001486,0.0001486
131,2527.58,1.20099,1.43809,1.47246,0.73736,0.89811,0.87193,0.65436,0.86475,0.89416,1.13871,0.000142,0.000142,0.000142
132,2546.35,0.9945,1.15549,1.24565,0.74278,0.90286,0.87891,0.66277,0.85465,0.89005,1.1331,0.0001354,0.0001354,0.0001354
