epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,3369.52,1.49669,0.92251,1.1734,0.85993,0.71773,0.81704,0.38318,1.96589,1.03206,1.44797,0.000198063,0.000198063,0.000198063
71,3403.68,1.51246,0.9253,1.1425,0.82989,0.73238,0.8196,0.37698,1.96625,1.03223,1.44576,0.000191875,0.000191875,0.000191875
72,3437.71,1.52541,0.97573,1.14392,0.87502,0.71987,0.82249,0.38665,1.97253,1.03584,1.44805,0.000185688,0.000185688,0.000185688
73,3471.99,1.50715,0.98898,1.16197,0.88451,0.71225,0.82061,0.38717,1.97298,1.03098,1.44658,0.0001795,0.0001795,0.0001795
74,3506.5,1.5084,0.98586,1.16934,0.80804,0.75944,0.81448,0.3765,1.97984,1.02652,1.4429,0.000173313,0.000173313,0.000173313
75,3539.84,1.4913,0.93521,1.1378,0.8116,0.74937,0.8113,0.37353,1.97812,1.02605,1.43908,0.000167125,0.000167125,0.000167125
76,3573.87,1.46137,0.89358,1.12741,0.82549,0.75153,0.81037,0.37643,1.97727,1.03156,1.43884,0.000160938,0.000160938,0.000160938
77,3608.35,1.57484,0.93347,1.17899,0.80766,0.76338,0.8108,0.37639,1.98388,1.03368,1.4409,0.00015475,0.00015475,0.00015475
78,3641.87,1.4912,0.93757,1.14101,0.8435,0.75948,0.81658,0.38275,1.9912,1.02694,1.44485,0.000148563,0.000148563,0.000148563
79,3675.4,1.49884,0.92716,1.18946,0.84987,0.76469,0.82041,0.38578,1.99116,1.02171,1.44687,0.000142375,0.000142375,0.000142375
80,3708.62,1.45186,0.90283,1.14505,0.88726,0.75281,0.81823,0.39684,1.98087,1.01547,1.44376,0.000136187,0.000136187,0.000136187
81,3742.55,1.46147,0.95756,1.14432,0.87476,0.76611,0.82007,0.39941,1.97644,1.01355,1.43996,0.00013,0.00013,0.00013
82,3776.88,1.47017,0.92371,1.15909,0.87726,0.74516,0.822,0.39656,1.98175,1.01253,1.4428,0.000123812,0.000123812,0.000123812
83,3811.6,1.44407,0.90505,1.14572,0.88291,0.74105,0.81897,0.39485,1.98425,1.01459,1.44409,0.000117625,0.000117625,0.000117625
84,3845.09,1.48241,0.92438,1.14916,0.84819,0.75609,0.82538,0.40061,1.97465,1.01245,1.44152,0.000111438,0.000111438,0.000111438
85,3878.7,1.39923,0.86501,1.11044,0.85224,0.74511,0.82456,0.4052,1.96831,1.0134,1.43948,0.00010525,0.00010525,0.00010525
86,3912.59,1.4691,0.90167,1.13476,0.87511,0.72912,0.82346,0.39591,1.9593,1.01852,1.43712,9.90625e-05,9.90625e-05,9.90625e-05
87,3945.96,1.40251,0.88316,1.09461,0.90661,0.71309,0.82408,0.39345,1.95558,1.02005,1.43732,9.2875e-05,9.2875e-05,9.2875e-05
88,3979.03,1.44152,0.91619,1.13682,0.89561,0.73382,0.82383,0.3976,1.94957,1.02174,1.43217,8.66875e-05,8.66875e-05,8.66875e-05
89,4013.24,1.47444,0.93358,1.13203,0.90318,0.7416,0.82441,0.3975,1.94904,1.02013,1.42935,8.05e-05,8.05e-05,8.05e-05
90,4046.74,1.44682,0.92741,1.13972,0.90769,0.74608,0.82769,0.40083,1.95718,1.01029,1.431,7.43125e-05,7.43125e-05,7.43125e-05
91,4078.68,1.47908,1.04333,1.20479,0.91429,0.73982,0.83441,0.40373,1.96188,1.00799,1.43453,6.8125e-05,6.8125e-05,6.8125e-05
92,4111.41,1.50673,1.05917,1.23004,0.88202,0.75128,0.83129,0.40133,1.96718,1.01939,1.43528,6.19375e-05,6.19375e-05,6.19375e-05
93,4144.44,1.49187,1.01152,1.17723,0.87177,0.74822,0.82791,0.39525,1.97197,1.02614,1.44006,5.575e-05,5.575e-05,5.575e-05
94,4176.7,1.42381,0.95196,1.14483,0.85868,0.74737,0.8233,0.39729,1.96614,1.03695,1.43887,4.95625e-05,4.95625e-05,4.95625e-05
95,4208.08,1.41989,0.994,1.19715,0.85326,0.74146,0.82142,0.39618,1.95879,1.03906,1.43656,4.3375e-05,4.3375e-05,4.3375e-05
96,4240.26,1.49649,1.06168,1.16122,0.86607,0.72972,0.82139,0.4023,1.94868,1.04101,1.43315,3.71875e-05,3.71875e-05,3.71875e-05
97,4272.55,1.3987,0.94252,1.1401,0.86194,0.73194,0.82138,0.40118,1.94162,1.04179,1.42838,3.1e-05,3.1e-05,3.1e-05
98,4302.08,1.47017,0.95916,1.2058,0.86322,0.72969,0.81839,0.39949,1.93992,1.04275,1.42878,2.48125e-05,2.48125e-05,2.48125e-05
99,4331.82,1.45089,0.98824,1.11823,0.86992,0.72847,0.81819,0.40279,1.94202,1.04304,1.42957,1.8625e-05,1.8625e-05,1.8625e-05
100,4364.43,1.46549,0.93539,1.15323,0.88144,0.73632,0.81983,0.39883,1.94292,1.04298,1.43187,1.24375e-05,1.24375e-05,1.24375e-05
